ACORN,Blocks
ACORN-A,"block_0, block_1, block_2, block_3"
ACORN-B,block_3
ACORN-C,"block_3, block_4, block_5, block_6"
ACORN-D,"block_6, block_7, block_8, block_9, block_10, block_11, block_12"
ACORN-E,"block_12, block_13, block_14, block_15, block_16, block_17, block_18, block_19, block_20, block_21, block_22, block_23, block_24, block_25, block_26, block_27, block_28, block_29, block_30, block_31, block_32, block_33, block_34, block_35, block_36, block_37, block_38, block_39, block_40, block_41, block_42, block_43"
ACORN-F,"block_43, block_44, block_45, block_46, block_47, block_48, block_49, block_50, block_51, block_52, block_53, block_54, block_55, block_56, block_57"
ACORN-G,"block_57, block_58, block_59, block_60, block_61"
ACORN-H,"block_61, block_62, block_63, block_64, block_65, block_66, block_67, block_68, block_69, block_70"
ACORN-I,"block_70, block_71"
ACORN-J,"block_71, block_72, block_73, block_74"
ACORN-K,"block_74, block_75, block_76, block_77"
ACORN-L,"block_77, block_78, block_79, block_80, block_81, block_82, block_83, block_84"
ACORN-M,"block_84, block_85, block_86"
ACORN-N,"block_86, block_87, block_88, block_89"
ACORN-O,"block_89, block_90, block_91"
ACORN-P,"block_91, block_92, block_93"
ACORN-Q,"block_93, block_94, block_95, block_96, block_97, block_98, block_99, block_100, block_101, block_102, block_103, block_104, block_105, block_106, block_107, block_108, block_109, block_110"
ACORN-U,"block_110, block_111"
